,target_text,pred_str
6237,ATHLETE,ATHLETE
6238,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
6239,SINGER,SINGER
6240,SPOONS,SPOONS
6241,I COLLECT STAMPS FROM VIETNAM,I COLLECT STAMPS FROM VIETNAM
6242,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
6243,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
6244,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
6245,WOOLEN,WOOLEN
6246,THANKS,THANKS
6247,TOYOTA,TOYOTA
6248,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
6249,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
6250,ROYAL,ROYAL
6251,BEHIND,BEHIND
6252,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
6253,DESIGN,DESIGN
6254,ETHNIC,ETHNIC
6255,PAGE,PAGE
6256,KINGPIN,KINGPIN
6257,MCDONALD,MCDONALD
6258,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A GIRAFFE
6259,STEPFATHER,STEPFATHER
6260,UPDATED,UPDATED
6261,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING IN CAIRO
6262,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT TO THE BOOKS
6263,SPRINGHILL,SPRINGHILL
6264,THROWER,THROWER
6265,TWO,TWO
6266,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT JUICE
6267,FIVE,FIVE
6268,PICTURE,PICTURE
6269,MOHAWK,MOHAWK
6270,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
6271,BOOMERANG,BOOMERANG
6272,SCRAPBOOK,SCRAPBOOK
6273,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESERT
6274,RAGTIME,RAGTIME
6275,IS THAT GIRL CHEWING GUM,IS THAT GIRL CHEWING GUM
6276,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVISION DURING DINNER
6277,SWOOP,SWOOP
6278,WHITE,WHITE
6279,ADVANTAGE,ADVANTAGE
6280,HOMEMAKING,HOMEMAKING
6281,CIVILIZED,CIVILIZED
6282,SILVER ROBOT TOYS ARE THE BEST,SILVER ROBOT TOYS ARE THE BEST
6283,NUCLEAR,NUCLEAR
6284,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
6285,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
6286,SHEEPDOG,SHEEPDOG
6287,SMOOTHLY,SMOOTHLY
6288,CHAIR,CHAIR
6289,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
6290,NAPKIN,NAPKIN
6291,GUMSHOE,GUMSHOE
6292,PUSH,PUSH
6293,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
6294,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
6295,WAGGING,WAGGING
6296,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6297,SUBMIT,SUBMIT
6298,I COLLECT STAMPS FROM VIETNAM,I COLLECT STAMPS FROM VIETNAM
6299,SPOONS,SPOONS
6300,SINGER,SINGER
6301,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
6302,OFFSHORE,OFFSHORE
6303,CRENSHAW,CRENSHAW
6304,EASIER,EASIER
6305,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6306,ATHLETE,ATHLETE
6307,ICEBERG,ICEBERG
6308,LOGIC,LOGIC
6309,BEHIND,BEHIND
6310,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
6311,ROYAL,ROYAL
6312,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
6313,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
6314,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
6315,WOOLEN,WOOLEN
6316,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
6317,THANKS,THANKS
6318,TOYOTA,TOYOTA
6319,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
6320,WAGGING,WAGGING
6321,SUBMIT,SUBMIT
6322,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6323,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
6324,NAPKIN,NAPKIN
6325,CHAIR,CHAIR
6326,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
6327,GUMSHOE,GUMSHOE
6328,BEHIND,BEHIND
6329,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
6330,ROYAL,ROYAL
6331,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
6332,MABEL GROWS TOMATOES IN THE COURTYARD,ABEL GROWS TOMATOES IN THE COURTYARD
6333,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
6334,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
6335,THANKS,THANKS
6336,TOYOTA,TOYOTA
6337,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6338,CRENSHAW,CRENSHAW
6339,EASIER,EASIER
6340,OFFSHORE,OFFSHORE
6341,ICEBERG,ICEBERG
6342,LOGIC,LOGIC
6343,ATHLETE,ATHLETE
6344,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
6345,SINGER,SINGER
6346,SPOONS,SPOONS
6347,I COLLECT STAMPS FROM VIETNAM,I COLLECT STAMPS FROM VIETNAM
6348,HOMEMAKING,HOMEMAKING
6349,ADVANTAGE,ADVANTAGE
6350,NUCLEAR,NUCLEAR
6351,CIVILIZED,CIVILIZED
6352,SILVER ROBOT TOYS ARE THE BEST,SIVER ROBOT TOYS ARE THE BEST
6353,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
6354,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
6355,SHEEPDOG,SHEEPDOG
6356,SMOOTHLY,SMOOTHLY
6357,SWOOP,SWOOP
6358,WHITE,WHITE
6359,RAGTIME,RAGTIME
6360,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVISION DURING DINNER
6361,IS THAT GIRL CHEWING GUM,IS THAT GIRL CHEWING GUM
6362,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESERT
6363,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT TO THE BOOKS
6364,STEPFATHER,STEPFATHER
6365,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING IN CAIRO
6366,UPDATED,UPDATED
6367,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A GIRAFFE
6368,MCDONALD,MCDONALD
6369,KINGPIN,KINGPIN
6370,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
6371,DESIGN,DESIGN
6372,ETHNIC,ETHNIC
6373,PAGE,PAGE
6374,PICTURE,PICTURE
6375,FIVE,FINE
6376,BOOMERANG,BOOMERANG
6377,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
6378,MOHAWK,MOHAWK
6379,SCRAPBOOK,SCRAPBOOK
6380,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT JUICE
6381,THROWER,THROWER
6382,TWO,TWO
6383,SPRINGHILL,SPRINGHILL
6384,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
6385,SHADES,SHADES
6386,SMOKE,SMOKE
6387,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
6388,NOVEL,NOVEL
6389,CIRCUMSTANCE,CIRCUMSTANCE
6390,HERBALIST,HERBALIST
6391,PUSH,PUSH
6392,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
6393,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
6394,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
6395,WEATHERPROOF,WEATHERPROOF
6396,SURROUND,SURROUND
6397,UNWILLING,UNWILLING
6398,STEAMSHIP,STEAMSHIP
6399,DEPTHS,DEPTHS
6400,ENGRAVE,ENGRAVE
6401,OVERREACTION,OVERREACTION
6402,JURORS,JURORS
6403,MATURE,MATURE
6404,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
6405,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH THE LEADER
6406,ZUCCHINI,ZUCCHINI
6407,SPOONS,SPOONS
6408,THROUGHOUT,THROUGHOUT
6409,TWENTY,TWENTY
6410,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
6411,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
6412,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6413,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU
6414,SCHOOL,SCHOOL
6415,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
6416,FEMALE,FEMALE
6417,MISJUDGED,MISJUDGED
6418,BIRTHMARK,BIRTHMARK
6419,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
6420,TEN,TEN
6421,TOWN,TOWN
6422,WONDERFUL,WONDERFUL
6423,ROCK,ROCK
6424,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
6425,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
6426,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
6427,SHORTCHANGE,SHORTCHANGE
6428,SOUTHMOST,SOUTHMOST
6429,HUMOR,HUMOR
6430,LIFEBOATS,LIFEBOATS
6431,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
6432,ASPIRE,ASPIRE
6433,OBVIOUS,OBVIOUS
6434,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
6435,COWBOYS,COWBOYS
6436,EARTHQUAKE,EARTHQUAKE
6437,PUNISHMENT,PUNISHMENT
6438,GROWL,GROWL
6439,CAUTIOUSLY,CAUTIOUSLY
6440,MUTUAL,MUTUAL
6441,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
6442,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
6443,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
6444,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
6445,SUBDUE,SUBDUE
6446,VOWEL,VOWEL
6447,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
6448,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH THE LEADER
6449,JURORS,JURORS
6450,MATURE,MATURE
6451,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
6452,BATHE,BATHE
6453,OVERREACTION,OVERREACTION
6454,DEPTHS,DEPTHS
6455,ENGRAVE,ENGRAVE
6456,UNWILLING,UNWILLING
6457,STEAMSHIP,STEAMSHIP
6458,SCHOOL,SCHOOL
6459,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
6460,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU
6461,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6462,MISJUDGED,MISJUDGED
6463,BIRTHMARK,BIRTHMARK
6464,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
6465,FEMALE,FEMALE
6466,THROUGHOUT,THROUGHOUT
6467,TWENTY,TWENTY
6468,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
6469,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
6470,SPOONS,SPOONS
6471,ZUCCHINI,ZUCCHINI
6472,SURROUND,SURROUND
6473,WEATHERPROOF,WEATHERPROOF
6474,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
6475,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
6476,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
6477,PUSH,PUSH
6478,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
6479,SHADES,SHADES
6480,SMOKE,SMOKE
6481,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
6482,CIRCUMSTANCE,CIRCUMSTANCE
6483,NOVEL,NOVEL
6484,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6485,HERBALIST,HERBALIST
6486,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
6487,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
6488,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
6489,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
6490,GROWL,GROWL
6491,PUNISHMENT,PUNISHMENT
6492,MUTUAL,MUTUAL
6493,CAUTIOUSLY,CAUTIOUSLY
6494,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
6495,SUBDUE,SUBDUE
6496,VOWEL,VOWEL
6497,OBVIOUS,OBVIOUS
6498,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
6499,COWBOYS,COWBOYS
6500,EARTHQUAKE,EARTHQUAKE
6501,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
6502,ASPIRE,ASPIRE
6503,LIFEBOATS,LIFEBOATS
6504,HUMOR,HUMOR
6505,SHORTCHANGE,SHORTCHANGE
6506,SOUTHMOST,SOUTHMOST
6507,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
6508,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
6509,WONDERFUL,WONDERFUL
6510,TEN,TEN
6511,TOWN,TOWN
6512,ROCK,ROCK
6513,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
6514,STEAMSHIP,STEAMSHIPVE
6515,UNWILLING,UNWILLING
6516,BATHE,BATHE
6517,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
6518,MATURE,ENTURE
6519,JURORS,JURORS
6520,DEPTHS,DEPTHS
6521,ENGRAVE,ENGRAVE
6522,OVERREACTION,OVERREACTION
6523,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH THE LEADER
6524,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
6525,TWENTY,TWENTY
6526,THROUGHOUT,THROUGHOUT
6527,ZUCCHINI,ZUCCHINI
6528,SPOONS,SPOONS
6529,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
6530,SCHOOL,SCHOOL
6531,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6532,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU
6533,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
6534,BIRTHMARK,BIRTHMARK
6535,MISJUDGED,MISJUDGED
6536,FEMALE,FEMALE
6537,PUSH,PUSH
6538,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
6539,SURROUND,SURROUND
6540,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
6541,WEATHERPROOF,WEATHERPROOF
6542,HERBALIST,HERBALIST
6543,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6544,NOVEL,NOVEL
6545,CIRCUMSTANCE,CIRCUMSTANCE
6546,SHADES,SHADES
6547,SMOKE,SMOKE
6548,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
6549,MUTUAL,MUTUAL
6550,CAUTIOUSLY,CAUTIOUSLY
6551,PUNISHMENT,PUNISHMENT
6552,GROWL,GROWL
6553,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
6554,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
6555,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
6556,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
6557,VOWEL,VOWEL
6558,SUBDUE,SUBDUE
6559,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
6560,SHORTCHANGE,SHORTCHANGE
6561,SOUTHMOST,SOUTHMOST
6562,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
6563,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
6564,COWBOYS,COWBOYS
6565,EARTHQUAKE,EARTHQUAKE
6566,OBVIOUS,OBVIOUS
6567,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
6568,LIFEBOATS,LIFEBOATS
6569,HUMOR,HUMOR
6570,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
6571,ASPIRE,ASPIRE
6572,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
6573,ROCK,ROCK
6574,WONDERFUL,WONDERFUL
6575,TEN,TEN
6576,TOWN,TOWN
6577,UNFORTUNATE,UNFORTUNATE
6578,STARVE,STARVE
6579,BUYING THE RING TOOK ALL OF MY MONEY,BUYING THE RING TOOK ALL OF MY MONEY
6580,BRONCO,BRONCO
6581,MOUTHS,MOUTHS
6582,FOUR,FOUR
6583,PLAYOFFS,PLAYOFFS
6584,ARE YOU SURE THIS IS OKAY,ARE YOU SURE THIS IS OKAY
6585,SEIZURE,SEIZURE
6586,VASE,VASE
6587,TAKE OFF YOUR HAT PLEASE,TAKE OFF YOUR HAT PLEASE
6588,OBJECTED,OBJECTED
6589,CONCEPT,CONCEPT
6590,DIRECT,DIRECT
6591,ANNOUNCE,ANNOUNCE
6592,HOPEFUL,HOPEFUL
6593,SHOCK,SHOCK
6594,SOFTEN,SOFTEN
6595,COULD LIZARDS EVER TALK,COULD LIZARDZS EVER TALK
6596,I HOPE THE AIRPLANE WILL GET HIGHER,I HOPE THE AIRPLANE WILL GET HIGHER
6597,ONE NINE SEVEN FOUR THREE FIVE FOUR,ONE NINE SEVEN FOUR THREE FIVE FOUR
6598,WITHDRAWN,WITHDRAWN
6599,TECHNOLOGY,TECHNOLOGY
6600,WILL BEETS STAIN MY PANTS,WILL BEETS STAIN MY PANTS
6601,RED,RED
6602,DON'T THINK ABOUT IT TOO MUCH,DON'T THINK ABOUT IT TOO MUCH
6603,SUGGEST,SUGGEST
6604,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MILKY WAY
6605,WASH,WASH
6606,PLEASE OFFER THEM A DINNER MINT,PLEASE OFFER THEM A DINNER MINT
6607,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
6608,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6609,HARDSHIP,HARDSHIP
6610,CHEWY,CHEWY
6611,NORMAL,NORMAL
6612,SPOONS,SPOONS
6613,FAITHFUL,FAITHFUL
6614,MICROWAVES,MICROWAVES
6615,BIGFOOT,BIGFOOT
6616,SAFEWAY,SAFEWAY
6617,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
6618,PUSH,PUSH
6619,YOU CAN SEE BUGS LIGHT UP THE SKY,YOU CAN SEE BUGS LIGHT UP THE THE SKY
6620,THOUSAND,THOUSAND
6621,TREASURE,TREASURE
6622,YELLOW,YELLOW
6623,OUR TENT CAN HOLD SIX PEOPLE,OUR TENT CAN HOLD SIX PEOPLE
6624,LUMBERYARD,LUMBERYARD
6625,AWESOME,AWESOME
6626,FOUR SIX FOUR TWO NINE FIVE FOUR,FOUR SIX FOUR TWO NINE FIVE FOUR
6627,CULTURES,CULTURES
6628,EMPLOYEES,EMPLOYES
6629,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6630,SLOGAN,SLOGAN
6631,BUYING THE RING TOOK ALL OF MY MONEY,BUYING THE RING TOOK ALL OF MY OF MY MONEY
6632,UNFORTUNATE,UUNFORTUNATE
6633,TOOTHPASTE,TOOTHPASTE
6634,STARVE,STARVE
6635,ARE YOU SURE THIS IS OKAY,ARE YOU SURE THIS IS OKAY
6636,SEIZURE,SEIZURE
6637,MOUTHS,MOUTHS
6638,BRONCO,BRONOBRONCO
6639,PLAYOFFS,PLAYOFFS
6640,FOUR,FOUR
6641,ARE ZEBRAS JUST STRIPED HORSES,ARE ZEBRAS JUST STRIPED HORSES
6642,PATHFINDER,PATHFINDER
6643,VASE,VASE
6644,TAKE OFF YOUR HAT PLEASE,TAKE OFF YOUR HAT PLEASE
6645,ANNOUNCE,ANNOUNCE
6646,HOPEFUL,HOPEFUL
6647,CONCEPT,CONCEPT
6648,DIRECT,DIRECT
6649,COULD LIZARDS EVER TALK,COULD LIZARDS EVER TALK
6650,SHOCK,SHOCK
6651,SOFTEN,SOFTEN
6652,WILL YOU PLEASE BATHE,WILL YOU PLEASE BATHE
6653,TECHNOLOGY,TECHNOLOGY
6654,WILL BEETS STAIN MY PANTS,WILL BEETS STAIN MY PANTS
6655,WITHDRAWN,WITHDRAWN
6656,ONE NINE SEVEN FOUR THREE FIVE FOUR,ONE NINE SEVEN FOUR THREE FIVE FOUR
6657,I HOPE THE AIRPLANE WILL GET HIGHER,I HOPE THE AIRPLANE WILL GET HIGHER
6658,DON'T THINK ABOUT IT TOO MUCH,DON'T THINK ABOUT IT TOO MUCH
6659,THE SPEAKER BOOMED FROM THE CAR,THE SPEAKER BOOMED FROM THE CAR
6660,WE HAD A BIRDS EYE VIEW,WE HAD A BIRDS EYE VIEW
6661,RED,RED
6662,WASH,WASH
6663,SUGGEST,SUGGEST
6664,PLEASE OFFER THEM A DINNER MINT,PLEASE OFFER THEM A DINNER MINT
6665,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6666,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
6667,SPOONS,SPOONS
6668,HARDSHIP,HARDSHIP
6669,NORMAL,NORMAL
6670,CHEWY,CHEWY
6671,SAFEWAY,SAFEWAY
6672,I LIKE MY MEAT ON A COLD PLATTER,I LIKE MY MEAT ON COLD ON A COLD PLATTER
6673,FAITHFUL,FAITHFUL
6674,BIGFOOT,BIGFOOT BIG FOOT A
6675,MICROWAVES,MICROWAVES
6676,YELLOW,YELLOW
6677,THOUSAND,THOUSAND
6678,TREASURE,TREASURE
6679,YOU CAN SEE BUGS LIGHT UP THE SKY,YOU CAN SEE BUGS LIGHT UP THE SKY
6680,PUSH,PUSH
6681,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
6682,THE RAIN CHASED THE DIRT DOWN THE DRAIN,THE RAIN CHASED THE DIRT DOWN THE DRAIN
6683,FOUR SIX FOUR TWO NINE FIVE FOUR,FOUR SIX FOUR TWO NINE FIVE FOUR
6684,CULTURES,CULTURES
6685,EMPLOYEES,EMPLOYES
6686,AWESOME,AWOMEAWESOME
6687,INTERRUPT,INTERRUPT
6688,LUMBERYARD,LUMBERYARD
6689,OUR TENT CAN HOLD SIX PEOPLE,OUR TENT CAN HOLD SIX PEOPLE
6690,WILL YOU SING THIS SONG,WILL YOU REE SING THIS SONG
6691,YELLOW,YELLOW
6692,THOUSAND,THOUSAND
6693,TREASURE,TREASURE
6694,YOU CAN SEE BUGS LIGHT UP THE SKY,YOU CAN SEE BUGS LIGHT UP THE SKY
6695,PUSH,PUSH
6696,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
6697,THE RAIN CHASED THE DIRT DOWN THE DRAIN,THE RAIN CHASED THE DIRT DOWN THE DRAIN
6698,FAITHFUL,FAITHFUL
6699,BIGFOOT,BIGFOOT
6700,MICROWAVES,MICROWAVES
6701,SAFEWAY,SAFEWAY
6702,I LIKE MY MEAT ON A COLD PLATTER,I LIKE MY MEAT ON A COLD PLATTER
6703,SLOGAN,SLOGAN
6704,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
6705,OUR TENT CAN HOLD SIX PEOPLE,OUR TENT CAN HOLD SIX PEOPLE
6706,AWESOME,AWESOME
6707,INTERRUPT,INTERRUPT
6708,LUMBERYARD,LUMBERYARD
6709,CULTURES,CULTURES
6710,EMPLOYEES,EMPLOYES
6711,FOUR SIX FOUR TWO NINE FIVE FOUR,FOUR SIX FOUR TWO NINE FIVE FOUR
6712,ORGANIZATIONS,ORGANIZATIONS
6713,SPOONS,SPOONS
6714,HARDSHIP,HARDSHIP
6715,NORMAL,NORMAL
6716,CHEWY,CHEWY
6717,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
6718,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
6719,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MILKY WAY
6720,SUGGEST,SUGGEST
6721,WASH,WASH
6722,PLEASE OFFER THEM A DINNER MINT,PLEASE OFFER THEM A DINNER MINT
6723,OBJECTED,OBJECTED
6724,PATHFINDER,PATHFINDER
6725,VASE,VASE
6726,TAKE OFF YOUR HAT PLEASE,TAKE OFF YOUR HAT PLEASE
6727,ARE ZEBRAS JUST STRIPED HORSES,ARE ZEBRAS JUST STRIPED HORSES
6728,TOOTHPASTE,TOOTHPASTE
6729,UNFORTUNATE,UNFORTUNATE
6730,STARVE,STARVE
6731,BUYING THE RING TOOK ALL OF MY MONEY,BUYING THE RING TOOK ALL OF MY MONEY
6732,MOUTHS,MOUTHS
6733,BRONCO,BRONCO
6734,PLAYOFFS,PLAYOFFS
6735,FOUR,FOUR
6736,GIVE KEITH A MOMENT TO THINK,GIVE KEITH A MOMENT TO THINK
